21	23	27	31	25	34	30	34	26	23.4	19	19.6
15	30	31	35	32	37	34	37	29	25.2	21.9	15.4
16	29	33	37	43	46	41	42	42.32	22.48	19.4	15.7
18	29	38	46	45	51	56	46	44.6	30.2	20.7	13.2
14	27	44	58	62	66	52	65.6	43.4	36.6	20.2	8.8
2	11	76	65	72	66	65	73.5	70.3	42.9	5	3.8
0	0	94	89	73	76	58	75.5	100.7	33.9	0.2	0.1
8	6	74	73	68	60	72	66	67.2	48.8	7	3.5
12	24	46	61	55	62	58	57	49.7	31	23.7	13
16	26	39	46	48	53	44	51	45	28	23.5	15.6
18	27	33	40	42	42	45	42	37	27	26.4	15.8
17	23	32	34	38	38	41	34	26	30	27	20.3
