-16	-22	-15	-11	-7	0	3	7	10	13	14.8	17.7
-23	-22	-23	-21	-19	-8	1	8	13	26.32	23.6	21.1
-29	-27	-27	-22	-13	-11	-6	9	13	15.28	23	24.3
-32	-36	-38	-32	-20	-3	12	8	27.6	26.4	32.8	32.3
-29	-41	-57	-25	-18	-8	-8	5	12.9	39.8	46.1	30.9
-26	-28	-39	-21	3	4	14	7	9	39.4	30.4	25.6
29	37	43	23	7	2	-14	0	-9.5	-43	-28.1	-21.3
34	38	56	28	16	3	5	-9	-18	-35.5	-53.3	-36.6
30	34	36	29	14	7	-2	-16	-22	-26.7	-29.7	-29.9
19	21	22	16	10	4	-7	-6	-15	-23	-24	-21.1
21	20	16	15	9	5	1	-3	-11	-22	-19	-18.4
16	16	16	11	9	8	3	-5	-10	-8	-16.4	-16.3
